t,ecg
7.142481,652
7.142494,600
7.142508,603
7.142522,543
7.142535,600
7.142549,525
7.247456,545
7.247497,495
7.247512,489
7.247526,427
7.247539,435
7.247556,401
7.247570,460
7.247584,434
7.247597,418
7.247610,367
7.324877,392
7.324905,354
7.324920,341
7.324934,324
7.324947,425
7.324960,356
7.324973,352
7.324993,348
7.325006,375
7.325020,296
7.437407,353
7.437460,367
7.437476,355
7.437490,356
7.437504,388
7.437517,334
7.437530,354
7.437543,365
7.437556,353
7.437569,385
7.516153,406
7.516208,380
7.516223,409
7.516241,403
7.516254,372
7.516268,219
7.516281,153
7.516293,155
7.516306,336
7.516319,453
7.621128,529
7.621176,483
7.621190,459
7.621202,465
7.621213,481
7.621224,400
7.621236,484
7.621247,451
7.621258,448
7.621278,430
7.733704,443
7.733752,383
7.733767,476
7.733782,438
7.733795,445
7.733809,447
7.733822,432
7.733835,431
7.733848,465
7.733861,455
7.823657,460
7.823699,412
7.823708,437
7.823716,409
7.823723,468
7.823730,419
7.823738,471
7.823745,455
7.823752,447
7.823763,455
7.922307,486
7.922348,428
7.922357,483
7.922364,465
7.922372,472
7.922379,467
7.922386,451
7.922393,454
7.922400,497
7.922408,443
8.027470,443
8.027519,423
8.027534,454
8.027549,460
8.027562,499
8.027575,451
8.027588,459
8.027601,451
8.027614,472
8.027637,426
8.142416,486
8.142445,460
8.142461,528
8.142475,472
8.142489,492
8.142502,460
8.142515,495
8.142528,471
8.142541,478
8.142553,477
8.225102,526
8.225155,475
8.225171,509
8.225185,478
8.225198,504
8.225211,484
8.225224,468
8.225237,487
8.225250,508
8.225263,492
8.329908,504
8.329940,442
8.329954,22
8.329973,0
8.329985,0
8.329996,0
8.330008,0
8.330018,0
8.330029,44
8.330040,103
8.434946,148
8.434987,191
8.435002,258
8.435016,267
8.435030,325
8.435044,369
8.435057,410
8.435070,411
8.435083,476
8.435096,476
8.546198,504
8.546248,495
8.546263,524
8.546276,551
8.546289,558
8.546303,560
8.546316,595
8.546329,533
8.546342,550
8.546355,456
8.621209,313
8.621266,334
8.621282,543
8.621296,634
8.621309,719
8.621322,670
8.621335,718
8.621348,635
8.621361,703
8.621373,673
8.729878,667
8.729907,648
8.729920,689
8.729932,595
8.729943,662
8.729955,634
8.729966,594
8.729977,615
8.729988,628
8.729999,580
8.834951,626
8.834999,596
8.835013,601
8.835027,588
8.835040,586
8.835054,574
8.835067,596
8.835080,575
8.835093,609
8.835107,575
8.946198,573
8.946230,520
8.946245,572
8.946265,586
8.946279,577
8.946292,550
8.946305,595
8.946318,540
8.946330,548
8.946343,540
9.024939,530
9.024970,497
9.024985,550
9.024999,508
9.025012,524
9.025026,527
9.025039,539
9.025052,498
9.025066,542
9.025079,524
9.134008,537
9.134047,536
9.134063,535
9.134077,517
9.134091,542
9.134105,507
9.134119,543
9.134133,542
9.134147,568
9.134160,538
9.243728,548
9.243776,502
9.243791,534
9.243804,492
9.243818,542
9.243831,574
9.243845,589
9.243858,554
9.243870,571
9.243888,545
9.322443,558
9.322490,521
9.322505,580
9.322518,569
9.322531,588
9.322545,563
9.322558,554
9.322571,552
9.322584,560
9.322597,504
9.426183,604
9.426222,540
9.426237,609
9.426251,561
9.426265,579
9.426278,556
9.426291,573
9.426304,546
9.426317,497
9.426330,559
9.533727,627
9.533778,579
9.533792,579
9.533806,546
9.533819,556
9.533833,535
9.533846,510
9.533859,507
9.533872,577
9.533885,564
9.640041,590
9.640087,543
9.640102,552
9.640116,530
9.640129,562
9.640143,531
9.640156,589
9.640169,553
9.640182,480
9.640206,318
9.746227,232
9.746276,353
9.746292,583
9.746307,630
9.746320,658
9.746333,614
9.746347,619
9.746360,590
9.746373,584
9.746385,523
9.829987,590
9.830041,519
9.830057,579
9.830072,559
9.830086,595
9.830099,544
9.830112,552
9.830125,520
9.830138,555
9.830151,513
9.934964,500
9.935000,538
9.935016,586
9.935030,520
9.935043,527
9.935056,511
9.935070,513
9.935083,481
9.935096,479
9.935109,524
10.046223,551
10.046259,542
10.046275,547
10.046288,536
10.046302,550
10.046316,491
10.046329,549
10.046342,538
10.046355,581
10.046368,532
10.124965,527
10.124992,521
10.125007,539
10.125023,517
10.125037,491
10.125051,532
10.125064,570
10.125077,519
10.125090,519
10.125103,502
10.229942,530
10.229976,515
10.229991,484
10.230005,524
10.230018,548
10.230032,523
10.230045,543
10.230058,522
10.230072,532
10.230085,512
10.336205,487
10.336231,528
10.336246,553
10.336259,543
10.336272,549
10.336286,524
10.336299,526
10.336313,501
10.336326,528
10.336339,486
10.446315,559
10.446364,521
10.446379,551
10.446392,517
10.446410,515
10.446424,492
10.446437,541
10.446450,523
10.446464,507
10.446478,516
10.524962,542
10.525011,512
10.525026,530
10.525040,497
10.525054,540
10.525068,510
10.525081,507
10.525095,516
10.525108,526
10.525121,529
10.638745,526
10.638801,491
10.638817,529
10.638831,525
10.638844,500
10.638858,510
10.638871,532
10.638884,503
10.638897,525
10.638910,512
10.744959,504
10.744987,501
10.745002,510
